year,sheetIndex,startRow,keepCol
2004,1,1,"1,2,3,4,5"
2005,1,1,"1,2,3,4,5"
2006,2,1,"1,2,3,4,5"
2007,2,1,"1,2,3,4,5"
2008,2,1,"1,2,3,4,5"
2009,2,1,"1,2,3,4,5"
2010,2,1,"1,2,3,4,5"
2011,2,1,"1,2,3,4,5"
2012,2,1,"1,2,3,4,5"
2013,2,1,"1,2,3,4,5"
2014,2,1,"1,2,3,4,5"
2015,2,1,"1,2,3,4,5"
2016,2,1,"1,2,3,4,5"
2017,2,1,"1,2,3,4,5"
2018,2,1,"1,2,3,4,5"
